GAME_DATE,SEASON_ID,TEAM_ID,GAME_ID,MIN,PTS,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,STL,BLK,TOV,PF,PLUS_MINUS,CHAMP
2011-12-31,42010.0,1610612754,41000103.0,240.0,90.2,32.8,80.2,0.4085999999999999,5.8,15.4,0.352,18.8,24.4,0.7804,13.0,25.4,38.4,16.0,8.2,5.6,13.8,23.0,-7.4,0
2012-12-31,42011.0,1610612754,41100166.90909091,242.3636363636364,90.9090909090909,33.72727272727273,79.45454545454545,0.426,5.727272727272728,17.90909090909091,0.326,17.727272727272727,23.0,0.7681818181818183,12.363636363636363,31.63636363636364,44.0,16.272727272727273,6.909090909090909,5.454545454545454,13.818181818181818,22.0,1.3636363636363635,0
2013-12-31,42012.0,1610612754,41200218.42105264,241.31578947368425,91.78947368421052,32.21052631578947,74.36842105263158,0.4351578947368421,6.2631578947368425,19.157894736842103,0.3364210526315789,21.105263157894736,28.526315789473685,0.7344210526315791,12.736842105263158,32.89473684210526,45.63157894736842,17.473684210526315,5.421052631578948,4.473684210526316,15.526315789473683,22.42105263157895,0.1578947368421052,0
2014-12-31,42013.0,1610612754,41300198.42105264,240.21052631578948,91.57894736842104,33.63157894736842,74.52631578947368,0.4535263157894737,7.315789473684211,19.26315789473684,0.3735263157894737,17.0,23.36842105263158,0.7169473684210526,8.210526315789474,31.26315789473684,39.47368421052632,18.789473684210527,7.052631578947368,4.2105263157894735,12.68421052631579,20.73684210526316,-1.0,0
2016-12-31,42015.0,1610612754,41500114.0,239.57142857142856,93.71428571428572,33.0,74.85714285714286,0.4394285714285714,8.142857142857142,21.285714285714285,0.3797142857142856,19.571428571428573,23.857142857142858,0.8261428571428571,9.142857142857142,30.142857142857142,39.285714285714285,18.142857142857142,7.571428571428571,5.571428571428571,13.571428571428571,22.285714285714285,1.4285714285714286,0
2017-12-31,42016.0,1610612754,41600112.5,240.0,108.75,40.5,87.0,0.468,11.25,28.75,0.39525,16.5,21.5,0.75575,11.75,30.25,42.0,22.5,8.0,3.75,12.25,22.75,-4.0,0
2018-12-31,42017.0,1610612754,41700134.0,239.8571428571429,100.57142857142856,38.57142857142857,80.14285714285714,0.4814285714285714,9.714285714285714,27.142857142857142,0.3515714285714285,13.714285714285714,19.285714285714285,0.700857142857143,8.142857142857142,31.857142857142858,40.0,21.142857142857142,8.142857142857142,2.7142857142857144,12.142857142857142,21.857142857142858,5.714285714285714,0
2019-12-31,42018.0,1610612754,41800132.5,240.5,91.75,33.5,83.5,0.4015,10.0,29.75,0.3319999999999999,14.75,20.5,0.6917499999999999,8.0,32.25,40.25,20.75,8.25,3.5,11.25,20.0,-7.5,0
2020-12-31,42019.0,1610612754,41900132.5,240.5,100.75,36.5,80.25,0.45475,12.0,32.0,0.378,15.75,20.25,0.7625000000000001,5.75,30.75,36.5,22.5,9.25,5.5,14.5,23.25,-10.5,0
2018-12-31,42017.0,1610612750,41700143.0,239.8,101.6,38.0,82.6,0.4592,9.0,21.8,0.4039999999999999,16.6,22.8,0.7242,8.6,36.6,45.2,22.4,5.0,3.2,12.0,18.2,-8.8,0
